,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,3,1,person,1877.7531876650637,513.3170507684619,[1849.11193646  439.33399423 1906.39443887  587.3001073 ]
0,3,2,person,870.6912415537079,499.16116324547613,[836.84434207 423.10939203 904.53814104 575.21293446]
0,3,3,person,737.9615043282662,438.399184560853,[714.38318708 365.38403311 761.53982157 511.41433601]
0,3,4,person,1805.3704456760238,524.678698295293,[1779.50279152  466.00203138 1831.23809984  583.35536521]
0,3,7,person,528.8626155584687,404.0772787483613,[511.60146877 388.53045659 546.12376235 419.6241009 ]
0,4,1,person,1866.7729612766657,522.5967936995621,[1840.84347744  455.07115943 1892.70244511  590.12242797]
0,4,2,person,865.0520763933247,501.5812414982773,[830.78789475 424.2999885  899.31625804 578.8624945 ]
0,4,3,person,729.0255452182198,442.34535548006966,[706.06326173 370.88115214 751.9878287  513.80955882]
0,4,4,person,1794.835478353825,526.1536186161537,[1768.19767059  465.8644934  1821.47328611  586.44274383]
0,4,7,person,538.2016579922121,402.11055841256314,[515.82763855 381.74318583 560.57567743 422.477931  ]
0,4,9,person,292.7385916729073,405.3222776592731,[278.84281724 384.05457236 306.63436611 426.58998296]
0,4,10,person,800.3150381673281,500.63520660846706,[771.65992794 433.69396333 828.97014839 567.57644989]
0,4,11,person,1105.382551211757,356.1523507939412,[1096.09893978  340.60846472 1114.66616265  371.69623687]
0,5,1,person,1859.188557674355,517.5467900970225,[1830.47661994  442.55434656 1887.90049541  592.53923363]
0,5,2,person,860.0648111064245,502.5904644474143,[825.82616832 425.30141326 894.30345389 579.87951564]
0,5,3,person,719.865030526998,442.2171110942579,[696.59191995 370.00031566 743.13814111 514.43390653]
0,5,4,person,1786.7171106869457,526.1633309046698,[1760.36903999  466.44899219 1813.06518138  585.87766962]
0,5,7,person,535.0706276079602,401.0852779982617,[510.02097002 378.00700665 560.1202852  424.16354935]
0,5,9,person,283.1181254575546,405.7797937329024,[270.19528661 385.87053672 296.0409643  425.68905075]
0,5,10,person,797.4446613196324,487.1481450400745,[762.12313974 403.72305889 832.7661829  570.57323119]
0,5,11,person,1097.648039096146,356.90997527225215,[1088.26873245  341.23303863 1107.02734574  372.58691191]
0,6,1,person,1850.9794172979869,522.0232322745555,[1824.63588566  453.5625896  1877.32294893  590.48387495]
0,6,2,person,856.0525498216389,502.44122933144206,[822.22180885 426.25803362 889.88329079 578.62442505]
0,6,3,person,713.6002617863437,439.5186847730674,[689.67557515 365.91977211 737.52494842 513.11759744]
0,6,4,person,1779.0072690571687,525.337918707311,[1753.05339     466.53932396 1804.96114811  584.13651346]
0,6,7,person,530.3806073098709,401.25072164580524,[505.93333222 378.35098578 554.8278824  424.15045751]
0,6,9,person,274.71248772439606,405.4396222481531,[261.39722838 384.81431885 288.02774707 426.06492564]
0,6,10,person,793.7802949054212,497.47467866239896,[763.60191565 426.33723471 823.95867416 568.61212262]
0,6,11,person,1090.5390011506236,357.46144636499355,[1080.44880026  340.63477    1100.62920204  374.28812273]
0,6,13,person,649.7124961375293,402.1370841866327,[630.87546875 374.27416837 668.54952353 430.        ]
0,7,1,person,1841.3477120904922,514.893841603426,[1813.06666354  440.96553492 1869.62876064  588.82214829]
0,7,2,person,852.0420518868017,501.9235275711155,[818.16825468 425.80875804 885.91584909 578.0382971 ]
0,7,3,person,706.5518860767346,440.77748696358276,[682.75211774 367.56285891 730.35165441 513.99211502]
0,7,4,person,1769.3247423274843,524.6333276074886,[1743.43341464  466.49557282 1795.21607002  582.7710824 ]
0,7,7,person,525.321660142047,400.3739368994575,[500.48635142 376.76945628 550.15696887 423.97841752]
0,7,9,person,267.9264243666866,406.0987675286009,[254.69876154 385.60915035 281.15408719 426.58838471]
0,7,10,person,788.2305600980219,501.92071418829255,[761.2436094  438.6120023  815.21751079 565.22942608]
0,7,11,person,1082.7567058796699,357.6238028243422,[1071.96502386  339.70387559 1093.5483879   375.54373005]
0,7,13,person,641.7252340115549,402.48243848764344,[623.71661404 375.73817342 659.73385398 429.22670355]
0,7,14,person,153.76395108825955,358.11236901982954,[133.9413424  334.63055997 173.58655978 381.59417807]
0,7,15,person,492.84066467319144,406.0798709320369,[475.09454759 388.92068093 510.58678175 423.23906093]
0,8,1,person,1833.8394433403614,513.2891580425701,[1806.50240034  441.66314819 1861.17648634  584.91516789]
0,8,2,person,842.8680633236733,498.22688591900135,[808.96523608 422.14473814 876.77089056 574.3090337 ]
0,8,3,person,696.6260078121541,441.185164317538,[672.53152168 366.57283891 720.72049395 515.79748973]
0,8,4,person,1761.7669059733926,519.1291070758788,[1736.51187806  462.25143406 1787.02193389  576.00678009]
0,8,7,person,524.7874010754175,400.0967806534951,[498.1907409  374.81823717 551.38406125 425.37532414]
0,8,9,person,256.0106268385463,404.03621181517747,[243.49064646 384.39566543 268.53060722 423.6767582 ]
0,8,10,person,779.9331976801733,496.28023186418517,[750.06312729 426.09882682 809.80326807 566.46163691]
0,8,11,person,1075.4309586332108,356.97715505564037,[1063.15502407  336.5974109  1087.7068932   377.35689921]
0,8,13,person,625.4234211252017,401.0586474956061,[607.08086201 373.88358859 643.76598024 428.2337064 ]
0,8,14,person,143.1404243390722,358.03095145492364,[123.67634012 334.77651739 162.60450856 381.28538551]
0,8,15,person,494.8290812955212,402.1378158037661,[476.27470973 384.19294238 513.38345287 420.08268923]
0,9,1,person,1826.7058126937957,514.0462631469336,[1800.62055913  445.37547807 1852.79106626  582.71704822]
0,9,2,person,837.6719533141938,495.81183272093125,[803.32425785 418.72600421 872.01964878 572.89766123]
0,9,3,person,689.0887826130535,442.29937169574737,[665.02063125 367.76859581 713.15693397 516.83014758]
0,9,4,person,1753.2368912270213,516.0995188504272,[1727.6948822   458.61356892 1778.77890026  573.58546878]
0,9,9,person,248.2337271646988,404.1696456071154,[235.88807927 384.80257958 260.57937506 423.53671163]
0,9,10,person,775.0179311422287,494.69907676407405,[744.60704554 423.26827342 805.42881675 566.1298801 ]
0,9,11,person,1068.8586674285123,357.16472971995995,[1056.28080281  336.28374068 1081.43653205  378.04571876]
0,9,13,person,617.7619730869378,400.865139470774,[599.61165348 373.97488913 635.91229269 427.75538981]
0,9,14,person,136.52001259430543,358.00742065169936,[116.8479508  334.5045079  156.19207439 381.5103334 ]
0,9,15,person,493.81302156948135,400.2416655193714,[474.54877053 381.61023169 513.07727261 418.87309935]
0,9,18,person,766.0825441417671,405.4563098776865,[746.19038809 374.16505157 785.9747002  436.74756818]
0,10,1,person,1817.6239775875536,508.4532418456996,[1790.47244398  437.02644273 1844.7755112   579.88004096]
0,10,2,person,834.2742324296953,493.9063976645418,[799.33044317 415.44999375 869.21802169 572.36280158]
0,10,4,person,1746.0674236352497,512.6679886401145,[1720.9184536   455.96664005 1771.21639367  569.36933723]
0,10,9,person,239.24473802538236,401.97090003546907,[225.92278427 380.87516279 252.56669178 423.06663728]
0,10,10,person,772.0901185525308,484.8235839216472,[738.81625153 405.6874986  805.36398557 563.95966924]
0,10,11,person,1060.1344311639623,351.2878944586623,[1048.22310357  331.35932783 1072.04575876  371.21646109]
0,10,18,person,762.1828734005862,404.9971037641019,[741.91959452 373.12205245 782.44615228 436.87215508]
0,11,1,person,1809.2419090779022,504.5023471904543,[1780.72516793  429.43086353 1837.75865022  579.57383085]
0,11,2,person,830.8648799604683,493.86430284915434,[795.8276947  414.90729016 865.90206522 572.82131553]
0,11,3,person,676.1732485889454,432.34401111226765,[650.88425632 355.25576807 701.46224086 509.43225415]
0,11,4,person,1738.7184285127623,511.4470712444444,[1712.89083904  452.97883844 1764.54601798  569.91530404]
0,11,9,person,230.0786006368581,399.55400389500187,[215.90159556 376.82316642 244.25560571 422.28484137]
0,11,10,person,766.5357654880761,479.95922339843935,[731.22179258 394.78985498 801.8497384  565.12859182]
0,11,11,person,1054.1227030264395,349.1817311399406,[1042.70684822  330.14046943 1065.53855783  368.22299285]
0,11,19,person,456.4678563475039,402.7047950127925,[442.50536624 388.1962222  470.43034646 417.21336783]
0,12,1,person,1799.7834264783685,504.69320940366663,[1772.10285754  432.51677442 1827.46399542  576.86964438]
0,12,2,person,825.4557116813041,493.86164970700224,[790.76689714 415.39744038 860.14452623 572.32585904]
0,12,3,person,668.2867586632318,428.2245473642558,[643.31809006 352.82275457 693.25542727 503.62634016]
0,12,4,person,1728.6239610947541,510.7086502839277,[1703.13775301  453.25422612 1754.11016918  568.16307445]
0,12,9,person,221.9435581837021,399.0153947953097,[207.60164269 376.02014272 236.28547368 422.01064687]
0,12,10,person,761.9435018747256,482.90793980276817,[728.30416444 402.1380737  795.58283931 563.67780591]
0,12,11,person,1046.4422652916141,348.4677067332707,[1034.34559141  328.3832375  1058.53893918  368.55217597]
0,12,19,person,447.25303871969254,401.6498290639421,[433.25498068 387.12549171 461.25109676 416.17416642]
0,13,1,person,1792.5541707442312,505.195927659632,[1765.54010142  433.84272208 1819.56824007  576.54913324]
0,13,2,person,821.6111856291493,494.5386826199356,[787.05304291 416.27946951 856.16932835 572.79789573]
0,13,3,person,659.6370861825872,428.80371527270654,[634.43852274 351.98358708 684.83564963 505.62384346]
0,13,4,person,1720.4899925312743,510.1615943413185,[1695.53416719  453.42402021 1745.44581788  566.89916848]
0,13,9,person,214.3418525123326,400.03727615596586,[200.76451407 378.13482757 227.91919096 421.93972474]
0,13,10,person,757.7554719940913,487.9305342900061,[725.22345348 409.41434607 790.28749051 566.44672251]
0,13,11,person,1039.8534504419838,347.2409012794104,[1027.31026676  326.46265046 1052.39663413  368.0191521 ]
0,13,14,person,98.09805842506239,350.8536015081089,[ 79.94202994 329.210658   116.25408691 372.49654501]
0,13,18,person,733.5389054747895,401.15132444143427,[713.94278051 369.9995988  753.13503044 432.30305008]
0,13,19,person,438.97137809760795,402.0751091143703,[425.06297595 387.55109181 452.87978024 416.59912642]
0,14,1,person,1784.1709706987883,507.7654998604275,[1757.9837733   438.38474257 1810.3581681   577.14625715]
0,14,2,person,819.02268318983,498.45691688252305,[785.09499587 421.94809457 852.95037051 574.9657392 ]
0,14,3,person,652.1366989497627,428.1268054522205,[626.87519766 351.11481117 677.39820024 505.13879974]
0,14,4,person,1713.1184511307797,511.353475368942,[1687.70343038  453.52793857 1738.53347188  569.17901217]
0,14,9,person,206.2655728506685,399.67060114872356,[192.61702494 377.65327561 219.91412076 421.68792669]
0,14,10,person,755.0504714897568,497.52471601578003,[725.87392923 428.23575762 784.22701375 566.81367442]
0,14,11,person,1033.0221302977084,346.4127311850459,[1020.28164373  325.30764187 1045.76261686  367.5178205 ]
0,14,14,person,89.85106707451068,349.86835696996866,[ 71.81273018 328.36570781 107.88940397 371.37100613]
