,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,6,7,person,767.9358120875017,437.3453922318633,[743.15568644 368.01423038 792.71593773 506.67655409]
0,6,8,person,996.9148369125966,440.38407523519834,[ 968.07619738  363.96373232 1025.75347645  516.80441815]
0,6,9,person,561.0965656779874,436.3390904731649,[537.9409278  365.01587554 584.25220355 507.66230541]
0,6,10,person,166.6445379025548,440.45406960664764,[143.51204329 386.54243501 189.77703252 494.36570421]
0,7,1,person,840.6551439667285,479.59424461089577,[764.56874641 304.90987011 916.74154152 654.27861911]
0,7,2,person,296.30825990758285,444.0338484414948,[258.47103611 343.36881748 334.14548371 544.6988794 ]
0,7,3,person,710.9700758003274,445.8019632090331,[680.35910359 359.58718664 741.58104801 532.01673977]
0,7,4,person,378.17484757144075,448.715821554012,[337.35794007 365.40619149 418.99175507 532.02545162]
0,7,5,person,604.8134672229552,437.02213792914375,[579.92210692 365.25925717 629.70482752 508.78501869]
0,7,6,person,230.68041170059166,455.06774493011847,[197.1110353  363.49485249 264.2497881  546.64063737]
0,7,7,person,769.2784342759821,437.0303185130017,[744.53327949 367.79699847 794.02358906 506.26363855]
0,7,8,person,997.987362779132,440.49458786470564,[ 969.18023941  363.94494993 1026.79448615  517.0442258 ]
0,7,9,person,560.2363763755047,437.13604885471875,[537.50974767 367.03155484 582.96300508 507.24054287]
0,7,10,person,165.8182164867835,440.4592451129032,[142.87626566 386.79210775 188.76016732 494.12638247]
0,8,1,person,836.7274522078369,480.65263550790496,[761.09791331 307.991588   912.35699111 653.31368302]
0,8,2,person,292.7572617572648,445.6964529774997,[254.57912202 344.40627993 330.93540149 546.98662602]
0,8,3,person,711.1452842609564,445.9215050449394,[679.85274265 358.28346724 742.43782587 533.55954285]
0,8,4,person,376.42209035968983,448.5122428353837,[336.47459661 365.17849094 416.36958411 531.84599473]
0,8,5,person,604.9772526267491,437.36302993327405,[579.6556998  365.69621702 630.29880545 509.02984285]
0,8,6,person,229.31865055968177,455.04029745960315,[195.46103783 362.66502963 263.17626329 547.41556529]
0,8,8,person,998.0332210686354,440.5297089492707,[ 969.09282007  363.25752296 1026.97362207  517.80189493]
0,8,9,person,557.1691496390852,438.8126320670623,[534.6968176  369.85030272 579.64148168 507.77496141]
0,8,10,person,165.8742750452907,440.8101675858499,[143.1620072  387.58121374 188.5865429  494.03912143]
0,9,1,person,831.4560697745712,482.05060549750294,[755.71137981 309.74767496 907.20075974 654.35353603]
0,9,2,person,290.88387571580125,446.9331535287882,[252.96343562 346.75060768 328.80431582 547.11569937]
0,9,3,person,710.5174795583715,445.9675367716626,[679.08336488 358.50407764 741.95159424 533.4309959 ]
0,9,4,person,373.8900091202575,448.500010693253,[334.773913   365.19521866 413.00610524 531.80480273]
0,9,5,person,606.052724091635,437.14477905745264,[580.63679906 366.54570511 631.46864912 507.743853  ]
0,9,6,person,228.26914560717375,455.36796093752844,[194.72253983 364.37759989 261.81575139 546.35832199]
0,9,8,person,997.0286182094821,440.1995686216318,[ 968.37150565  363.69047237 1025.68573077  516.70866488]
0,9,9,person,555.4020698718937,439.40743554244875,[533.01466551 370.84969152 577.78947423 507.96517957]
0,9,10,person,165.5626615076688,440.9403373955371,[142.99651059 387.87309637 188.12881243 494.00757842]
0,9,11,person,938.9907400439824,451.64288975509453,[897.91039207 370.89981927 980.07108802 532.38596024]
0,10,1,person,826.0331762412068,483.2180945816307,[751.26548278 313.0518331  900.8008697  653.38435607]
0,10,2,person,289.27775711089424,446.99073806846155,[252.02617728 348.88605791 326.52933694 545.09541822]
0,10,3,person,712.2757288072405,446.9931259700538,[680.71709007 359.29618406 743.83436754 534.69006788]
0,10,4,person,371.725466618684,449.5492371582211,[334.06945257 367.96174086 409.38148067 531.13673346]
0,10,5,person,600.3251912018761,437.73978826791324,[575.90946021 369.5834123  624.7409222  505.89616424]
